Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-00001,2018-06-24,2018-06-27,Same Day,CUST-3341,Customer 3467,Consumer,United States,San Francisco,California,85992,West,PROD-00001,Office Supplies,Paper,Paper Model 190,22.78,4,0.2,7.66
ORD-00002,2018-05-12,2018-05-19,Standard Class,CUST-1485,Customer 1907,Consumer,United States,Phoenix,Arizona,32320,West,PROD-00002,Technology,Copiers,Copiers Model 434,3109.0,3,0.0,1045.73
ORD-00003,2018-05-06,2018-05-07,First Class,CUST-1803,Customer 1722,Consumer,United States,Allentown,Pennsylvania,88971,East,PROD-00003,Office Supplies,Paper,Paper Model 889,13.35,2,0.2,3.15
ORD-00004,2018-05-06,2018-05-12,Second Class,CUST-2716,Customer 3692,Consumer,United States,San Diego,California,52145,West,PROD-00004,Office Supplies,Storage,Storage Model 904,38.22,1,0.0,9.47
ORD-00005,2018-09-27,2018-10-01,First Class,CUST-2916,Customer 1817,Consumer,United States,Allentown,Pennsylvania,73688,East,PROD-00005,Furniture,Bookcases,Bookcases Model 787,176.49,1,0.0,32.17
ORD-00006,2018-07-15,2018-07-18,Second Class,CUST-2758,Customer 253,Consumer,United States,Nashville,Tennessee,58581,South,PROD-00006,Technology,Accessories,Accessories Model 709,143.71,5,0.0,12.03
ORD-00007,2018-04-22,2018-04-27,Second Class,CUST-2810,Customer 4228,Corporate,United States,Montgomery,Alabama,30754,South,PROD-00007,Office Supplies,Appliances,Appliances Model 474,200.36,2,0.0,32.11
ORD-00008,2018-06-28,2018-07-01,Standard Class,CUST-3938,Customer 3520,Home Office,United States,Springfield,Massachusetts,79837,East,PROD-00008,Office Supplies,Appliances,Appliances Model 961,176.53,2,0.0,50.89
ORD-00009,2018-06-06,2018-06-12,Standard Class,CUST-3292,Customer 1908,Home Office,United States,Atlanta,Georgia,17207,South,PROD-00009,Office Supplies,Storage,Storage Model 664,123.72,4,0.0,13.45
ORD-00010,2018-02-19,2018-02-26,Standard Class,CUST-2444,Customer 1911,Corporate,United States,Las Vegas,Nevada,37920,West,PROD-00010,Technology,Machines,Machines Model 323,1068.07,2,0.0,375.96
ORD-00011,2018-03-26,2018-03-29,Same Day,CUST-2953,Customer 2522,Consumer,United States,San Francisco,California,97739,West,PROD-00011,Furniture,Bookcases,Bookcases Model 736,956.79,5,0.0,235.77
ORD-00012,2018-06-11,2018-06-13,Same Day,CUST-3864,Customer 3850,Corporate,United States,Rochester,New York,97081,East,PROD-00012,Technology,Machines,Machines Model 128,1622.12,3,0.0,342.4
ORD-00013,2018-09-16,2018-09-20,First Class,CUST-3321,Customer 1059,Corporate,United States,Portland,Oregon,34016,West,PROD-00013,Office Supplies,Storage,Storage Model 120,118.57,3,0.0,33.48
ORD-00014,2018-05-06,2018-05-13,Standard Class,CUST-2671,Customer 3539,Consumer,United States,Cleveland,Ohio,70522,Central,PROD-00014,Office Supplies,Appliances,Appliances Model 210,350.05,4,0.0,16.55
ORD-00015,2018-04-18,2018-04-20,Same Day,CUST-2849,Customer 2323,Consumer,United States,Austin,Texas,84092,Central,PROD-00015,Furniture,Chairs,Chairs Model 714,112.74,1,0.1,10.58
ORD-00016,2018-05-28,2018-06-01,Standard Class,CUST-1520,Customer 187,Corporate,United States,Jersey City,New Jersey,64068,East,PROD-00016,Office Supplies,Paper,Paper Model 997,15.56,2,0.1,3.12
ORD-00017,2018-04-15,2018-04-19,Same Day,CUST-2152,Customer 949,Consumer,United States,Virginia Beach,Virginia,30102,East,PROD-00017,Office Supplies,Binders,Binders Model 357,23.72,2,0.1,3.66
ORD-00018,2018-05-02,2018-05-07,Same Day,CUST-2397,Customer 2291,Consumer,United States,Seattle,Washington,11924,West,PROD-00018,Furniture,Tables,Tables Model 775,222.54,1,0.1,67.66
ORD-00019,2018-05-20,2018-05-21,Second Class,CUST-3616,Customer 4360,Consumer,United States,Seattle,Washington,95015,West,PROD-00019,Office Supplies,Paper,Paper Model 488,24.18,3,0.0,7.8
ORD-00020,2018-03-24,2018-03-29,Standard Class,CUST-3686,Customer 4618,Consumer,United States,Boston,Massachusetts,64333,East,PROD-00020,Technology,Copiers,Copiers Model 335,4304.63,5,0.1,1162.63
ORD-00021,2018-07-20,2018-07-27,Standard Class,CUST-3207,Customer 4879,Consumer,United States,Reno,Nevada,94458,West,PROD-00021,Furniture,Tables,Tables Model 755,433.56,2,0.0,91.19
